id,label
1,cat
2,automobile
3,ship
4,airplane
5,frog
6,frog
7,automobile
8,frog
9,cat
10,automobile
11,airplane
12,truck
13,dog
14,horse
15,truck
16,frog
17,dog
18,dog
19,ship
20,frog
21,horse
22,bird
23,bird
24,automobile
25,deer
26,deer
27,deer
28,airplane
29,truck
30,frog
31,frog
32,horse
33,deer
34,cat
35,truck
36,cat
37,horse
38,truck
39,truck
40,dog
41,airplane
42,frog
43,cat
44,frog
45,airplane
46,truck
47,dog
48,truck
49,horse
50,bird
51,horse
52,ship
53,dog
54,cat
55,ship
56,ship
57,horse
58,horse
59,dog
60,cat
61,horse
62,dog
63,frog
64,bird
65,frog
66,bird
67,automobile
68,bird
69,cat
70,horse
71,airplane
72,frog
73,ship
74,ship
75,airplane
76,bird
77,airplane
78,dog
79,dog
80,ship
81,ship
82,automobile
83,automobile
84,horse
85,bird
86,horse
87,bird
88,airplane
89,ship
90,truck
91,airplane
92,bird
93,ship
94,frog
95,deer
96,frog
97,frog
98,airplane
99,bird
100,horse
101,deer
102,dog
103,frog
104,cat
105,automobile
106,automobile
107,frog
108,frog
109,automobile
110,dog
111,deer
112,airplane
113,bird
114,bird
115,automobile
116,cat
117,airplane
118,deer
119,frog
120,dog
121,airplane
122,dog
123,horse
124,bird
125,airplane
126,airplane
127,ship
128,cat
129,cat
130,bird
131,deer
132,automobile
133,ship
134,truck
135,automobile
136,bird
137,truck
138,horse
139,deer
140,ship
141,deer
142,dog
143,frog
144,dog
145,ship
146,deer
147,frog
148,frog
149,dog
150,dog
151,automobile
152,truck
153,frog
154,airplane
155,bird
156,dog
157,bird
158,truck
159,cat
160,deer
161,bird
162,automobile
163,dog
164,frog
165,airplane
166,horse
167,ship
168,deer
169,dog
170,airplane
171,truck
172,truck
173,airplane
174,ship
175,automobile
176,truck
177,frog
178,horse
179,dog
180,airplane
181,airplane
182,dog
183,bird
184,deer
185,dog
186,ship
187,frog
188,cat
189,cat
190,ship
191,dog
192,cat
193,airplane
194,horse
195,horse
196,frog
197,ship
198,ship
199,dog
200,cat
201,dog
202,airplane
203,ship
204,horse
205,automobile
206,cat
207,ship
208,deer
209,horse
210,truck
211,deer
212,ship
213,dog
214,truck
215,ship
216,cat
217,horse
218,truck
219,airplane
220,horse
221,horse
222,frog
223,truck
224,deer
225,cat
226,truck
227,horse
228,bird
229,cat
230,bird
231,cat
232,automobile
233,dog
234,automobile
235,ship
236,airplane
237,deer
238,truck
239,dog
240,bird
241,automobile
242,automobile
243,automobile
244,truck
245,airplane
246,bird
247,automobile
248,ship
249,bird
250,airplane
251,dog
252,dog
253,truck
254,truck
255,bird
256,airplane
257,cat
258,airplane
259,ship
260,automobile
261,ship
262,automobile
263,cat
264,cat
265,airplane
266,ship
267,dog
268,deer
269,horse
270,airplane
271,dog
272,cat
273,frog
274,cat
275,ship
276,dog
277,airplane
278,deer
279,deer
280,horse
281,truck
282,airplane
283,frog
284,automobile
285,airplane
286,truck
287,automobile
288,airplane
289,horse
290,truck
291,automobile
292,bird
293,frog
294,automobile
295,cat
296,bird
297,frog
298,airplane
299,airplane
300,frog
301,frog
302,frog
303,dog
304,dog
305,dog
306,ship
307,truck
308,bird
309,automobile
310,deer
311,ship
312,frog
313,airplane
314,airplane
315,deer
316,airplane
317,horse
318,horse
319,dog
320,dog
321,dog
322,dog
323,bird
324,deer
325,cat
326,automobile
327,horse
328,dog
329,deer
330,frog
331,automobile
332,truck
333,cat
334,frog
335,frog
336,truck
337,cat
338,ship
339,bird
340,horse
341,deer
342,frog
343,bird
344,horse
345,airplane
346,dog
347,horse
348,frog
349,ship
350,truck
351,truck
352,automobile
353,ship
354,airplane
355,frog
356,deer
357,bird
358,bird
359,automobile
360,airplane
361,truck
362,dog
